marca,modelo,pvp_euro,cilindro,cc,potencia,rpm,peso,plazas,cons90,cons120,consurb,velocida,acelerac,acel2
1,Rocsta 1.8,15163.9333333333,4,1789,85,5500,1220,4,9, ,12,160, ,2
1,Rocsta 2.2 DX techo,14412.7533333333,4,2184,72,4250,1270,4,8, ,12,130, ,2
1,Rocsta 2.2 DX techo,15163.9333333333,4,2184,72,4250,1270,4,8, ,12,130, ,2
2,Blazer Aut.,31633.3333333333,6,4300,193,4400,1915,5,9.6,12.6,15.6,180,10.1,2
3,Feroza SX 16V,17956.4,4,1589,95,6000,1250,4,7.6,11.9,10.5,150,15.6,2
4,Maverick 2.4 GLX 5p,29740,4,2389,124,5200,1750,7,8.7,12.3,13.3,160,14,2
4,Maverick 2.7 TD GL 3,22753.3333333333,4,2663,100,4000, ,5,7.5,11.8,10.3,140,19,2
4,Maverick 2.7 TD GLS,25220,4,2663,100,4000, ,5,7.5,11.8,10.3,140,19,2
4,Maverick 2.7 TD GL 5,26233.3333333333,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,19.9,2
4,Maverick 2.7 TD GLS,29113.3333333333,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,19.9,2
4,Maverick 2.7 TD GLX,30406.6666666667,4,2663,100,4000,1850,7,8.6,13.1,11.8,145,19.9,2
4,Explorer 4.0 V6 XLT,31753.3333333333,6,3958,156,4200,2100,5,9.2,13.1,16.7,170,13.2,2
5,Wrangler 2.5 S Techo,16907.7733333333,4,2464,121,5300,1395,4,10.6,14.5,15.9,150,14.8,2
5,Wrangler 2.5 S Techo,18341.26,4,2464,121,5300,1370,4,10.6,14.5,15.9,150,13.3,2
5,Wrangler 4.0,21672.3733333333,6,3960,181,3960,1455,4,11.1,15.5,19.4,170,9.4,1
5,Cherokee 2.5 Jambore,25073.8333333333,4,2464,122,5300,1500,5,10.6,14.5,15.9,150,13.3,2
5,Cherokee 4.0 Jambore,26072.96,6,3960,184,4750,1500,5,10.2,13.9,18.5,180,10.2,2
